price,Selected,carat,cut,color,clarity,depth,table,x,y,z
continuous,No Yes,continuous,Fair Good Ideal Premium Very\ Good,D E F G H I J,I1 IF SI1 SI2 VS1 VS2 VVS1 VVS2,continuous,continuous,continuous,continuous,continuous
class,meta,,,,,,,,,
326,No,0.23,Ideal,E,SI2,61.5,55.0,3.95,3.98,2.43
326,No,0.21,Premium,E,SI1,59.8,61.0,3.89,3.84,2.31
334,No,0.29,Premium,I,VS2,62.4,58.0,4.20,4.23,2.63
335,No,0.31,Good,J,SI2,63.3,58.0,4.34,4.35,2.75
336,No,0.24,Very Good,J,VVS2,62.8,57.0,3.94,3.96,2.48
336,No,0.24,Very Good,I,VVS1,62.3,57.0,3.95,3.98,2.47
337,No,0.26,Very Good,H,SI1,61.9,55.0,4.07,4.11,2.53
338,No,0.23,Very Good,H,VS1,59.4,61.0,4.00,4.05,2.39
339,No,0.30,Good,J,SI1,64.0,55.0,4.25,4.28,2.73
340,No,0.23,Ideal,J,VS1,62.8,56.0,3.93,3.90,2.46
342,No,0.22,Premium,F,SI1,60.4,61.0,3.88,3.84,2.33
344,No,0.31,Ideal,J,SI2,62.2,54.0,4.35,4.37,2.71
345,No,0.20,Premium,E,SI2,60.2,62.0,3.79,3.75,2.27
345,No,0.32,Premium,E,I1,60.9,58.0,4.38,4.42,2.68
348,No,0.30,Ideal,I,SI2,62.0,54.0,4.31,4.34,2.68
351,No,0.30,Good,J,SI1,63.4,54.0,4.23,4.29,2.70
351,No,0.30,Good,J,SI1,63.8,56.0,4.23,4.26,2.71
351,No,0.30,Very Good,J,SI1,62.7,59.0,4.21,4.27,2.66
351,No,0.30,Good,I,SI2,63.3,56.0,4.26,4.30,2.71
352,No,0.23,Very Good,E,VS2,63.8,55.0,3.85,3.92,2.48
353,No,0.23,Very Good,H,VS1,61.0,57.0,3.94,3.96,2.41
353,No,0.31,Very Good,J,SI1,59.4,62.0,4.39,4.43,2.62
354,No,0.23,Very Good,G,VVS2,60.4,58.0,3.97,4.01,2.41
355,No,0.24,Premium,I,VS1,62.5,57.0,3.97,3.94,2.47
357,No,0.30,Very Good,J,VS2,62.2,57.0,4.28,4.30,2.67
357,No,0.23,Very Good,D,VS2,60.5,61.0,3.96,3.97,2.40
357,No,0.23,Very Good,F,VS1,60.9,57.0,3.96,3.99,2.42
402,No,0.23,Very Good,F,VS1,60.0,57.0,4.00,4.03,2.41
402,No,0.23,Very Good,F,VS1,59.8,57.0,4.04,4.06,2.42
402,No,0.23,Very Good,E,VS1,60.7,59.0,3.97,4.01,2.42
402,No,0.23,Very Good,E,VS1,59.5,58.0,4.01,4.06,2.40
402,No,0.23,Very Good,D,VS1,61.9,58.0,3.92,3.96,2.44
402,No,0.23,Good,E,VS1,64.1,59.0,3.83,3.85,2.46
402,No,0.31,Good,H,SI1,64.0,54.0,4.29,4.31,2.75
403,No,0.26,Very Good,D,VS2,60.8,59.0,4.13,4.16,2.52
403,No,0.33,Ideal,I,SI2,61.8,55.0,4.49,4.51,2.78
403,No,0.33,Ideal,I,SI2,61.2,56.0,4.49,4.50,2.75
403,No,0.33,Ideal,J,SI1,61.1,56.0,4.49,4.55,2.76
403,No,0.32,Good,H,SI2,63.1,56.0,4.34,4.37,2.75
403,No,0.29,Premium,F,SI1,62.4,58.0,4.24,4.26,2.65
403,No,0.32,Very Good,H,SI2,61.8,55.0,4.35,4.42,2.71
403,No,0.32,Good,H,SI2,63.8,56.0,4.36,4.38,2.79
404,No,0.25,Very Good,E,VS2,63.3,60.0,4.00,4.03,2.54
404,No,0.29,Very Good,H,SI2,60.7,60.0,4.33,4.37,2.64
404,No,0.24,Very Good,F,SI1,60.9,61.0,4.02,4.03,2.45
404,No,0.23,Ideal,G,VS1,61.9,54.0,3.93,3.95,2.44
404,No,0.32,Ideal,I,SI1,60.9,55.0,4.45,4.48,2.72
404,No,0.22,Premium,E,VS2,61.6,58.0,3.93,3.89,2.41
404,No,0.22,Premium,D,VS2,59.3,62.0,3.91,3.88,2.31
405,No,0.30,Ideal,I,SI2,61.0,59.0,4.30,4.33,2.63
405,No,0.30,Premium,J,SI2,59.3,61.0,4.43,4.38,2.61
405,No,0.30,Very Good,I,SI1,62.6,57.0,4.25,4.28,2.67
405,No,0.30,Very Good,I,SI1,63.0,57.0,4.28,4.32,2.71
405,No,0.30,Good,I,SI1,63.2,55.0,4.25,4.29,2.70
552,No,0.35,Ideal,I,VS1,60.9,57.0,4.54,4.59,2.78
552,No,0.30,Premium,D,SI1,62.6,59.0,4.23,4.27,2.66
552,No,0.30,Ideal,D,SI1,62.5,57.0,4.29,4.32,2.69
552,No,0.30,Ideal,D,SI1,62.1,56.0,4.30,4.33,2.68
552,No,0.42,Premium,I,SI2,61.5,59.0,4.78,4.84,2.96
553,No,0.28,Ideal,G,VVS2,61.4,56.0,4.19,4.22,2.58
553,No,0.32,Ideal,I,VVS1,62.0,55.3,4.39,4.42,2.73
553,No,0.31,Very Good,G,SI1,63.3,57.0,4.33,4.30,2.73
553,No,0.31,Premium,G,SI1,61.8,58.0,4.35,4.32,2.68
553,No,0.24,Premium,E,VVS1,60.7,58.0,4.01,4.03,2.44
